variable_name,text_cn,text_en,text_vn,text_ko,text_turkish,text_russian,text_spanish,text_pt,text_fa,text_jp,text_ar,text_other
txt_input_points,输入点,Input Points,Điểm nhập vào,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x16f,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x16f,Точки ввода,Puntos de entrada,Pontos de entrada,نقاط ورودی,入力ポイント,نقاط الإدخال,其它
txt_input_points,输入点,Input Points,Điểm nhập vào,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x17f,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x17f,Точки ввода,Puntos de entrada,Pontos de entrada,نقاط ورودی,入力ポイント,نقاط الإدخال,其它
txt_input_points,输入点,Input Points,Điểm nhập vào,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x18f,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x18f,Точки ввода,Puntos de entrada,Pontos de entrada,نقاط ورودی,入力ポイント,نقاط الإدخال,其它
txt_input_points,输入点,Input Points,Điểm nhập vào,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x19f,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x19f,Точки ввода,Puntos de entrada,Pontos de entrada,نقاط ورودی,入力ポイント,نقاط الإدخال,其它
txt_input_points,输入点,Input Points,Điểm nhập vào,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x20f,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x20f,Точки ввода,Puntos de entrada,Pontos de entrada,نقاط ورودی,入力ポイント,نقاط الإدخال,其它
txt_input_points,输入点,Input Points,Điểm nhập vào,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x21f,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x21f,Точки ввода,Puntos de entrada,Pontos de entrada,نقاط ورودی,入力ポイント,نقاط الإدخال,其它
txt_input_points,输入点,Input Points,Điểm nhập vào,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x22f,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x22f,Точки ввода,Puntos de entrada,Pontos de entrada,نقاط ورودی,入力ポイント,نقاط الإدخال,其它
txt_input_points,输入点,Input Points,Điểm nhập vào,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x23f,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x23f,Точки ввода,Puntos de entrada,Pontos de entrada,نقاط ورودی,入力ポイント,نقاط الإدخال,其它
txt_input_points,输入点,Input Points,Điểm nhập vào,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x24f,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x24f,Точки ввода,Puntos de entrada,Pontos de entrada,نقاط ورودی,入力ポイント,نقاط الإدخال,其它
txt_input_points,输入点,Input Points,Điểm nhập vào,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x25f,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x25f,Точки ввода,Puntos de entrada,Pontos de entrada,نقاط ورودی,入力ポイント,نقاط الإدخال,其它
txt_input_points,输入点,Input Points,Điểm nhập vào,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x26f,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x26f,Точки ввода,Puntos de entrada,Pontos de entrada,نقاط ورودی,入力ポイント,نقاط الإدخال,其它
txt_input_points,输入点,Input Points,Điểm nhập vào,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x27f,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x27f,Точки ввода,Puntos de entrada,Pontos de entrada,نقاط ورودی,入力ポイント,نقاط الإدخال,其它
txt_input_points,输入点,Input Points,Điểm nhập vào,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x28f,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x28f,Точки ввода,Puntos de entrada,Pontos de entrada,نقاط ورودی,入力ポイント,نقاط الإدخال,其它
txt_input_points,输入点,Input Points,Điểm nhập vào,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x29f,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x29f,Точки ввода,Puntos de entrada,Pontos de entrada,نقاط ورودی,入力ポイント,نقاط الإدخال,其它
txt_input_points,输入点,Input Points,Điểm nhập vào,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x30f,\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x30f,Точки ввода,Puntos de entrada,Pontos de entrada,نقاط ورودی,入力ポイント,نقاط الإدخال,其它
